movie_id,actor_id,cast_id,char_name,char_gender,order
81005,11184,9,Old Hamm,2,7
81005,2440,10,General Fallon,2,8
81005,53916,16,General Entin,2,9
81005,202760,17,Fye,0,10
64682,6193,2,Jay Gatsby,2,0
64682,2219,5,Nick Carraway,2,1
64682,36662,3,Daisy Buchanan,1,2
64682,33192,8,Tom Buchanan,2,3
64682,1133349,6,Jordan Baker,1,4
64682,52848,4,Myrtle Wilson,1,5
64682,76512,7,George Wilson,2,6
64682,35780,22,Meyer Wolfsheim,2,7
64682,236851,13,Teen Jay Gatsby,2,8
64682,205474,23,Catherine,1,9
64682,45211,24,Dan Cody,2,10
9543,131,5,Prince Dastan,2,0
9543,59620,2,Tamina,1,1
9543,2282,7,Nizam,2,1
9543,658,4,Sheik Amar,2,2
9543,55412,6,Seso,2,3
9543,20286,8,Garsiv,2,4
9543,52890,9,Tus,2,5
9543,32556,10,King Sharaman,2,6
9543,54810,26,Bis,0,7
9543,587354,27,Hassansin Leader,2,8
9543,15913,28,Hassansin Porcupine,0,9
68726,17605,2,Stacker Pentecost,2,0
68726,56365,3,Raleigh Becket,2,1
68726,95101,4,Dr. Newton Geiszler,2,2
68726,2372,6,Hannibal Chau,2,3
68726,39659,7,Gottlieb,0,4
68726,18054,8,Mako Mori,0,5
68726,94864,9,Herc Hansen,2,6
68726,112692,10,Aleksis Kaidanovsky,2,7
68726,1038379,11,Chuck Hansen,2,8
68726,118590,12,Tommy T,2,9
68726,15376,13,Miles,2,10
38356,10959,3,Sam Witwicky,2,0
38356,6949,5,Bruce Brazos,2,1
38356,83586,6,Jerry Wang,2,2
38356,3910,7,National Intelligence Director,1,3
38356,19536,9,Lt. Colonel William Lennox,2,4
38356,8169,10,Robert Epps,2,5
38356,1331,11,Megatron (voice),2,6
38356,1749,12,Sentinel Prime (voice),2,7
38356,1241,13,Simmons,2,8
38356,236048,14,Carly,1,9
38356,18352,18,Dylan,2,10
217,3,4,Indiana Jones,2,0
217,112,10,Irina Spalko,1,1
217,10959,11,Mutt Williams,2,2
217,5538,12,'Mac' George Michale,2,3
217,650,13,Marion Ravenwood,1,4
217,5049,14,Professor Oxley,2,5
217,388,15,Dean Charles Stanforth,2,6
217,36218,16,Russian Soldier,2,7
217,52761,17,Dovchenko,2,8
217,52762,18,Russian Soldier,2,9
217,52760,19,General Ross,2,10
105864,963134,20,Arlo (voice),0,0
105864,1476748,23,Spot (voice),0,1
105864,2954,21,Poppa (voice),2,2
105864,3910,22,Momma (voice),1,3
105864,1540680,34,Young Libby (voice),0,4
105864,1540681,35,Young Buck (voice),0,5
105864,1540682,36,Young Arlo (voice),0,6
105864,1348591,29,Buck (voice),2,7
105864,21198,37,Forrest Woodbush (voice),2,8
105864,18324,38,Thunderclap (voice),2,9
105864,1540683,39,Downpour (voice),0,10
62177,9015,1,Mérida (voice),1,0
62177,477,2,The Witch (voice),1,1
62177,9188,3,King Fergus (voice),0,2
62177,7056,4,Queen Elinor (voice),1,3
62177,9013,5,Lord MacGuffin / Young MacGuffin (voice),2,4
62177,24264,6,Lord Macintosh (voice),2,5
62177,1923,7,Lord Dingwall (voice),2,6
62177,1113604,22,Young Merida (voice),0,7
62177,1102427,23,Young Macintosh (voice),0,8
62177,137262,30,The Crow (voice),2,9
62177,1333216,31,Wee Dingwall (voice),0,10
188927,62064,9,James T. Kirk,2,0
188927,17306,10,Spock,2,1
188927,1372,11,Dr. Leonard 'Bones' McCoy,2,2
188927,11108,13,Montgomery 'Scotty' Scott,2,3
188927,8691,8,Nyota Uhura,1,4
188927,68842,14,Hikaru Sulu,2,5
188927,21028,12,Pavel Chekov,2,6
188927,568657,16,Jaylah,1,7
188927,17605,15,Krall,2,8
188927,592496,21,Manas/Anderson Le,2,9
188927,1095524,116,Kalara,1,10
10681,670,12,WALL·E / M-O (voice),2,0
10681,72754,13,EVE (voice),0,1
10681,60074,14,Captain (voice),2,2
10681,20753,21,"Shelby Forthright, BnL CEO",2,3
10681,7907,22,John (voice),2,4
10681,11074,24,Mary (voice),1,6
10681,117081,25,(voice),1,7
10681,35159,26,Axiom Passenger (voice),1,8
10681,72755,39,AUTO (voice),0,9
10681,59357,40,Steward Bots (voice),2,10
10681,78317,41,Axiom Passenger (voice),2,11
5174,66,2,Det. James Carter,2,0
5174,18897,3,Chief Insp. Lee,2,1
5174,9195,4,Kenji,0,2
5174,2201,5,Varden Reynard,2,3
5174,2245,6,George,2,4
5174,3556,7,Det. Revi,2,5
5174,41894,8,Soo Yung,0,6
5174,4492,9,Capt. William Diel,2,7
5174,145633,26,Genevieve,1,8
5174,164945,27,Zoe (uncredited),1,9
5174,16145,28,Dragon Lady,1,10
14161,3036,1,Jackson Curtis,2,0
14161,2956,2,Kate Curtis,1,1
14161,5294,3,Adrian Helmsley,2,2
14161,9030,7,Laura Wilson,1,3
14161,17485,12,Carl Anheuser,2,4
14161,17867,11,Dr. Gordon Silberman,0,5
14161,57755,8,Charlie Frost,2,6
14161,2047,4,President Wilson,2,7
14161,83852,9,Noah Curtis,2,8
14161,74227,10,Lilly Curtis,1,9
14161,101014,14,Tamara,1,10
17979,64,9,"Tiny Tim, Bob Cratchit, Marley",2,0
17979,206,10,"Ebenezer Scrooge, Ghost of Christmas Past, Ghost of Christmas Present, Ghost of Christmas Yet To Come",2,1
